Frame 1: Predicted URLLC = 2717, eMBB = 2779, mMTC = 2803, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 2: Predicted URLLC = 2736, eMBB = 2780, mMTC = 2712, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 3: Predicted URLLC = 2799, eMBB = 2709, mMTC = 2820, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 4: Predicted URLLC = 2742, eMBB = 2848, mMTC = 2718, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 5: Predicted URLLC = 2719, eMBB = 2861, mMTC = 2761, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 6: Predicted URLLC = 2795, eMBB = 2784, mMTC = 2819, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 7: Predicted URLLC = 2838, eMBB = 2884, mMTC = 2737, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 8: Predicted URLLC = 2762, eMBB = 2820, mMTC = 2734, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 9: Predicted URLLC = 2776, eMBB = 2761, mMTC = 2811, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 10: Predicted URLLC = 2784, eMBB = 2787, mMTC = 2757, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 11: Predicted URLLC = 2677, eMBB = 2792, mMTC = 2879, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 12: Predicted URLLC = 2764, eMBB = 2712, mMTC = 2801, Allocated (URLLC, eMBB, mMTC) = (30, 20, 0), Success Rate: 0.00
Frame 13: Predicted URLLC = 7, eMBB = 7, mMTC = 8, Allocated (URLLC, eMBB, mMTC) = (7, 7, 8), Success Rate: 0.08
Frame 14: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.14
Frame 15: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.20
Frame 16: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.25
Frame 17: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.29
Frame 18: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.33
Frame 19: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.37
Frame 20: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.40
Frame 21: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.43
Frame 22: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.45
Frame 23: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.48
Frame 24: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.50
Frame 25: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.52
Frame 26: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.54
Frame 27: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.56
Frame 28: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.57
Frame 29: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.59
Frame 30: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.60
Frame 31: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.61
Frame 32: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.62
Frame 33: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.64
Frame 34: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.65
Frame 35: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.66
Frame 36: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.67
Frame 37: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.68
Frame 38: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.68
Frame 39: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.69
Frame 40: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.70
Frame 41: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.71
Frame 42: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.71
Frame 43: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.72
Frame 44: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.73
Frame 45: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.73
Frame 46: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.74
Frame 47: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.74
Frame 48: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.75
Frame 49: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.76
Frame 50: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.76
Frame 51: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.76
Frame 52: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.77
Frame 53: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.77
Frame 54: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.78
Frame 55: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.78
Frame 56: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.79
Frame 57: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.79
Frame 58: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.79
Frame 59: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.80
Frame 60: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.80
Frame 61: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.80
Frame 62: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.81
Frame 63: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.81
Frame 64: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.81
Frame 65: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.82
Frame 66: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.82
Frame 67: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.82
Frame 68: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.82
Frame 69: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.83
Frame 70: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.83
Frame 71: Predicted URLLC = 0, eMBB = 0, mMTC = 0, Allocated (URLLC, eMBB, mMTC) = (0, 0, 0), Success Rate: 0.83
